#,Database,gbifID,PBDB collection #,occurrenceID,genus,specificEpithet,verbatimScientificName,Notes,preparations,occurrenceRemarks,institutionCode,collectionCode,catalogNumber,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,continent,countryCode,stateProvince,county,locality,verbatimLocality,formation,Max age (years),Min age (years),Average age (years),Method,Citation for age,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,Citation
2,GBIF,787066639,N/A,urn:catalog:UCMP:V:29234,Antilocapra,N/A,Antilocapra,N/A,POSTCRANIAL BONES,N/A,UCMP,V,29234,V3218,Location data redacted,Location data redacted,N/A,N/A,NORTH_AMERICA,US,Nebraska,Cherry County,Fort Niobrara,N/A,Valentine,"13,600,000","10,600,000",12100000,radiometric,"Wellstead, Carl F., ""Sedimentology of Norden Bridge and Egelhoff Fossil Quarries (Miocene) of NorthCentral Nebraska"" (1981). Transactions of the Nebraska Academy of Sciences and Af f iliated Societies. 269. https://digitalcommons.unl.edu/tnas/269 ",Miocene,Miocene,N/A,N/A,N/A,N/A,N/A
4,GBIF,787065807,N/A,urn:catalog:UCMP:V:23780,Antilocapra,N/A,Antilocapra,N/A,M/,N/A,UCMP,V,23780,-3266,Location data redacted,Location data redacted,N/A,N/A,NORTH_AMERICA,US,California,Riverside County,Mount Eden,N/A,Mount Eden,N/A,N/A,"5,600,000",magnetostratigraphic,"Barry Albright III, L., 1999. Magnetostratigraphy and biochronology of the San Timoteo Badlands, southern California, with implications for local Pliocene–Pleistocene tectonic and depositional patterns. Geological Society of America Bulletin, 111(9), pp.1265-1293.",Miocene,Miocene,N/A,N/A,Hemphillian,N/A,N/A
10,GBIF,787061356,N/A,urn:catalog:UCMP:V:310688,Antilocapra,N/A,Antilocapra,N/A,metapodial distal frag.,N/A,UCMP,V,310688,RV6738,Location data redacted,Location data redacted,N/A,N/A,NORTH_AMERICA,US,California,San Bernardino County,Lake Manix,N/A,Manix,"35,000","19,000",27000,radiometric,"Scott, E., & Cox, S. M. (2008). Late Pleistocene distribution of Bison (Mammalia; Artiodactyla) in the Mojave desert of southern California and Nevada. Geology and vertebrate paleontology of western and southern North America: contributions in honor of David P. Whistler. Edited by X. Wang and LG Barnes. Natural History Museum of Los Angeles County Science Series, 41, 359-382.",Pleistocene,Pleistocene,N/A,N/A,N/A,N/A,"Scott, E., & Cox, S. M. (2008). Late Pleistocene distribution of Bison (Mammalia; Artiodactyla) in the Mojave desert of southern California and Nevada. Geology and vertebrate paleontology of western and southern North America: contributions in honor of David P. Whistler. Edited by X. Wang and LG Barnes. Natural History Museum of Los Angeles County Science Series, 41, 359-382."
61,GBIF,2238652813,N/A,ed3d38e0-7944-465b-b43f-b707993aea0a,Antilocapra,americana,Antilocapra americana,Coordinates added by KM; add to pbdb?,N/A,N/A,FHSM,vp,5347,Cowley,37.280556,-97.140278,N/A,N/A,NORTH_AMERICA,US,Kansas,Cowley,"""Feaster Sandpit""",N/A,N/A,"240,000","14,000","127,000",biostratigraphic,"Lucas, M.L., 2011. The Mammals And Paleoindian Artifact From The Feaster Sand Pit, Late Pleistocene (Wisconsin)-Early Holocene, Of Cowley County (Southeastern), Kansas.",Pleistocene,Pleistocene,Middle,Upper,Rancholabrean,Rancholabrean,"Lucas, M.L., 2011. The Mammals And Paleoindian Artifact From The Feaster Sand Pit, Late Pleistocene (Wisconsin)-Early Holocene, Of Cowley County (Southeastern), Kansas."
75,GBIF,1895692482,N/A,f9facfc70e5392175d075af4142a2504,Antilocapra,N/A,Antilocapra sp.,Article constrains El Cedazo fauna to the Rancholabrean,N/A,N/A,NO APLICA,NO APLICA,NO DISPONIBLE,270,21.775,-102.141667,80,N/A,NORTH_AMERICA,MX,Aguascalientes,N/A,El Cedazo,N/A,N/A,"1,000,000","115,000",557500,biostratigraphic,"﻿Montellano-Ballesteros, M. (1992). Una edad del Irvingtoniano al Rancholabreano para la fauna Cedazo del Estado de Aguascalientes. Revista Del Instituto de Geología, 9(2), 195–203.",N/A,N/A,N/A,N/A,Rancholabrean,Rancholabrean,"Walter W. Dalquest & Gerald E. Schultz. 1992. Ice age mammals of northwestern Texas. [1]. Midwestern State Univerity Press Wichita Fall, Texas."
82,GBIF,1895692422,N/A,cadb872389c1b2b9c0ff9672ba1df1a9,Antilocapra,N/A,Antilocapra sp.,N/A,N/A,N/A,NO APLICA,NO APLICA,NO DISPONIBLE,757,19.297342,-98.920433,100,N/A,NORTH_AMERICA,MX,Mexico,N/A,Zohapilco. Tlapacoya IV,N/A,N/A,24000,22000,23000,radiometric,"Bryan, A.L., 1968. Some Problems and Hypotheses Relative to the Early Entry of Man into America. Anthropologica, pp.157-177.",N/A,N/A,N/A,N/A,N/A,N/A,Christine Niederberger. 1987. Paleopaysages et archeologie pre-urbaine du bassin de Mexico. 1-2. [11]. Centre d'Études Mexicaines et Centraméricaines.
105,GBIF,1895683540,N/A,f2faac40f9354c2a161c13a0c97f8578,Antilocapra,americana,Antilocapra americana,Coordinates added by KM,N/A,N/A,NO APLICA,NO APLICA,NO DISPONIBLE,197,19.608333,-98.915278,N/A,N/A,NORTH_AMERICA,MX,Mexico,N/A,Cuanalan,N/A,N/A,2320,2060,2190,radiometric,"Rodriguez Ceja, M., Goguitchaichvili, A., Morales, J., Ostrooumov, M., Manzanilla, L.R., Aguilar Reyes, B. and Urrutia‐Fucugauchi, J., 2009. Integrated archeomagnetic and micro–Raman spectroscopy study of pre‐Columbian ceramics from the Mesoamerican formative village of Cuanalan, Teotihuacan Valley, Mexico. Journal of Geophysical Research: Solid Earth, 114(B4).",N/A,N/A,N/A,N/A,N/A,N/A,Raúl Valadez & Mari Carmen Serra Puche & Haydeé García del C. 1985. Información Científica y Tecnológica. El berrendo de América del Norte. 3. [7]. 17-18.
110,GBIF,1895683519,N/A,e7b3f444dcf35dd39f7bf3fcb0fd1289,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,NO APLICA,NO APLICA,NO DISPONIBLE,210,27.125,-104.925,60,N/A,NORTH_AMERICA,MX,Chihuahua,N/A,Cueva de Jiménez,N/A,N/A,"11,500","10,500",11000,N/A,Arthur H. Harris. 1985. Late Pleistocene vertebrate paleoecology of the west. University of Texas Press. Austin.,N/A,N/A,N/A,N/A,N/A,N/A,Arthur H. Harris. 1985. Late Pleistocene vertebrate paleoecology of the west. University of Texas Press. Austin.
112,GBIF,1895683511,N/A,e2902fdff0aeef4859bd8b878f535f74,Antilocapra,americana,Antilocapra americana,N/A,N/A,N/A,NO APLICA,NO APLICA,NO DISPONIBLE,641,19.695833,-98.841667,N/A,N/A,NORTH_AMERICA,MX,Mexico,N/A,Teotihuacán,N/A,N/A,"2,100","1,540",1820,radiometric,"Beramendi-Orosco, L.E., Gonzalez-Hernandez, G., Soler-Arechalde, A.M. and Manzanilla, L.R., 2021. A high-resolution chronology for the palatial complex of Xalla in Teotihuacan, Mexico, combining radiocarbon ages and archaeomagnetic dates in a Bayesian model. Radiocarbon, 63(4), pp.1073-1084.",N/A,N/A,N/A,N/A,N/A,N/A,Raúl Valadez & Mari Carmen Serra Puche & Haydeé García del C. 1985. Información Científica y Tecnológica. El berrendo de América del Norte. 3. [7]. 17-18.
139,GBIF,1895683444,N/A,b1a32f7276d5a60a263b0eca2f9c9f2a,Antilocapra,americana,Antilocapra americana,add to PBDB? Coordinates added by KM,N/A,N/A,NO APLICA,NO APLICA,NO DISPONIBLE,678,19.301667,-98.912778,N/A,N/A,NORTH_AMERICA,MX,Puebla,N/A,Tlapacoya,N/A,N/A,"33,000","23,000",28000,biostratigraphic,"Chorn, J., Frase, B.A. and Frailey, C.D., 1988. Late Pleistocene pronghorn, Antilocapra americana, from natural trap cave, Wyoming.",N/A,N/A,Rancholabrean,N/A,N/A,N/A,Linda Manzanilla & M. C. Serra. 1987. Geofísica Internacional. volumen especial sobre el cinturón volcanico mexicano- parte 3A. Aprovechamiento de recursos de origen biológico en la Cuenca de México (2500 antes de Cristo-1500 despues de Cristo). S. P. Verma. [26]. 15-28.
